,amp,X,Y
110,1516,4.76837158203125e-06,-8.404254913330078e-06
111,1524,5.662441253662109e-06,-7.510185241699219e-06
112,1531,5.245208740234375e-06,-7.212162017822266e-06
113,1539,4.589557647705078e-06,-7.510185241699219e-06
114,1546,3.874301910400391e-06,-9.000301361083984e-06
115,1554,4.231929779052734e-06,-9.298324584960938e-06
116,1561,3.6954879760742188e-06,-7.450580596923828e-06
117,1569,3.814697265625e-06,-1.0073184967041016e-05
118,1576,3.516674041748047e-06,-9.179115295410156e-06
119,1584,3.933906555175781e-06,-9.5367431640625e-06
120,1591,3.814697265625e-06,-8.702278137207031e-06
121,1599,5.245208740234375e-06,-8.58306884765625e-06
122,1606,3.4570693969726562e-06,-9.357929229736328e-06
123,1614,4.410743713378906e-06,-8.881092071533203e-06
124,1621,3.993511199951172e-06,-8.881092071533203e-06
125,1629,4.112720489501953e-06,-7.987022399902344e-06
126,1636,4.410743713378906e-06,-9.000301361083984e-06
127,1644,5.364418029785156e-06,-8.165836334228516e-06
128,1651,4.708766937255859e-06,-9.953975677490234e-06
129,1659,6.496906280517578e-06,-8.52346420288086e-06
130,1666,5.185604095458984e-06,-8.225440979003906e-06
131,1674,5.4836273193359375e-06,-9.953975677490234e-06
132,1681,5.543231964111328e-06,-8.702278137207031e-06
133,1689,5.841255187988281e-06,-8.52346420288086e-06
134,1696,6.139278411865234e-06,-9.059906005859375e-06
135,1704,5.841255187988281e-06,-9.000301361083984e-06
136,1711,5.900859832763672e-06,-7.3909759521484375e-06
137,1719,5.841255187988281e-06,-9.357929229736328e-06
138,1726,6.318092346191406e-06,-7.808208465576172e-06
139,1734,5.125999450683594e-06,-8.225440979003906e-06
140,1741,5.781650543212891e-06,-7.569789886474609e-06
141,1749,5.245208740234375e-06,-8.225440979003906e-06
142,1756,7.033348083496094e-06,-7.271766662597656e-06
143,1764,7.331371307373047e-06,-8.821487426757812e-06
144,1771,7.62939453125e-06,-7.3909759521484375e-06
145,1779,6.496906280517578e-06,-7.271766662597656e-06
146,1786,6.854534149169922e-06,-7.092952728271484e-06
147,1794,7.68899917602539e-06,-7.62939453125e-06
148,1801,6.9141387939453125e-06,-8.463859558105469e-06
