# EMCCD raw fluorescence data file (1 ions, 2 traces)
# trace names: 'carrier dopp cool' 'carrier SB cool'
# format:
# | signalSlot | countcycle 1 .....
# |            | trace 0 | trace 1 |
# |            | ion 0   | ion 0   |
4.059e-005	10	164.25	173.75	168	117.25	190	172.5	164.25	178	167.5	177.75	173	162	177	171.25	109	178	161.25	172.75	161	169.75	
4.158e-005	10	156	179	168.5	189.25	171.5	180.5	160.75	146.25	179.25	167	198.75	178.5	175.25	113.5	162.25	175.5	194.75	198.5	203	182.25	
4.257e-005	10	118	178	116.5	173	173.25	155	114.25	171	173.5	182.25	182	200.75	111.25	186.25	165	149	172.25	174.5	172.75	123.5	
4.356e-005	10	154.25	166.25	120.25	174.75	189.75	170.75	163.5	176	177	124.5	188.75	124	172	159.75	187	165.75	110.5	117.25	174	114	
4.455e-005	10	178.5	108.25	174.25	122.5	116.75	159.5	167.25	153.5	145	110.25	111.5	111.5	121.25	156.75	186	120.25	170.25	167.75	117.25	133.5	
4.554e-005	10	111	116.25	184.75	119.25	173.75	119.5	205.75	118.25	126	187.75	165.75	119.75	177.75	166.25	111.25	159.75	163.5	123.5	162.5	166.25	
4.653e-005	10	183.25	120.75	113.75	116.5	123.75	113	183.5	120.75	122.75	115.25	116.5	111	168.5	123.75	169	117	123	108.5	173.5	166.75	
4.752e-005	10	115.5	121.75	155.75	110	165.75	122.75	110	114.25	117.5	108.25	112.5	164.25	168.25	117.5	111	120	163.5	116	159.5	112.25	
4.851e-005	10	117.25	131.25	114	123.75	189.25	116	129.75	116.75	168.5	117.75	121	114.25	115.25	106.25	136.5	117.5	169.5	123.25	170.5	123.25	
4.95e-005	10	110.75	118.25	119.5	116.25	125	117	188.5	116.75	181.25	113.25	166	109	116.5	171	115.5	122.25	147	128.75	125.25	116.75	
5.049e-005	10	110.25	123.25	111.75	107.25	119	108.25	123	168.25	124	122	114.75	116	172	183.75	116	107.75	179	120.75	117.5	115	
5.148e-005	10	121	123.75	172.25	163	164.25	121.25	185.5	124.5	164.5	123	180.5	112.75	121.25	118	120.25	190.5	109.5	187.25	179.5	110.5	
5.247e-005	10	182.75	188	174.75	109.5	115.75	113.5	111.25	171.25	179	119.75	117.25	121.5	116.5	110	121.5	127	110.75	112.25	161.5	115.25	
5.346e-005	10	181.25	159.25	112.75	175.75	182.25	119.25	123.75	181	170.25	174	109	125.25	128.5	118.25	110.75	114.25	120	119.5	108	108.75	
5.445e-005	10	173	169.75	109.25	182.25	108	121	128.25	124.5	157.5	115.5	170.25	125	124	195.75	159.75	117	116.25	112.25	113	113	
5.544e-005	10	187.5	113.25	116	183.5	197.5	171.5	106.75	134	186.75	175.5	119.5	114.5	119.75	172.75	120	124.5	151.5	115.25	134.25	183	
5.643e-005	10	122.5	191	198.25	184.75	108	164.75	121.25	170	197.75	126.75	121.25	166.5	112	117.5	172.75	173.75	116.25	159	109	184.5	
5.742e-005	10	182.75	186.25	183.75	175.75	115.75	175	193.75	187.5	161	172.5	176.25	178.75	172.5	169	124.5	185.75	182.75	179.25	127	175.25	
5.841e-005	10	145	180	144.5	169.5	116	171.5	158.5	161.75	122.25	164.5	116.75	116.25	149	179.5	174.5	183.75	170.5	178.75	128.25	184.75	
5.94e-005	10	165	175	171.5	167	116.75	177.75	156	177.25	170.75	175.25	172.5	185	168	191.5	184.25	155	118.5	179.25	120.5	173	
6.039e-005	10	126.75	193.5	170	187.75	181.5	178.75	174.5	113.5	159.5	189.75	203.75	105.5	121	177	118.5	110.25	115.5	115.25	172.25	152.5	
6.138e-005	10	166.75	116	131.5	175	159.75	108.25	161.75	124.25	112.25	151.25	121.25	104.25	115.75	121	121.75	176.25	173.5	165	128.75	176.75	
6.237e-005	10	114.5	114	121.75	182.5	121.75	163	177.75	187.5	192.75	150	163.25	171.25	119.5	114.5	177.25	125.25	181	184	117	175	
6.336e-005	10	176.75	116	161.75	187.5	179.75	116.5	147.75	182	175	115.5	117.5	168.75	189.75	177.5	170.25	132.5	203	127	127.25	165.75	
6.435e-005	10	190	117.75	110.75	115	178.75	176.5	189	111.5	116.75	122.5	167.75	188	166	107	116	187.25	117.25	206	116.25	191.75	
6.534e-005	10	113.25	113.75	171.25	113	147.25	193	179.5	153.5	178.75	114	173.75	177.5	179.5	174	129.75	112.5	176.25	166.25	168.5	122.5	
